time,national,local
2023 October,77,55
2022 October,78,56
2021 October,74,51
2020 October,78,38
2019 October,64,43
2018 October,60,39
2017 October,68,40
2016 October,70,45
2015 October,70,46
2014 October,63,44
2013 October,64,41
2011 October,68,48
2010 October,66,49
2009 October,74,51
2008 October,67,44
2007 October,71,51
2006 October,68,51
2005 October,67,47
2004 October,53,37
2003 October,60,40
2002 October,62,37
2001 October,41,26
2000 September,47,34
1998 October,52,31
1997 August,64,46
1996 July,71,46
1993 October,87,
1992 March,89,54
1990 September,84,51
1989 June,84,53
1989 January,,47
1983 January,,37
1981 January,,54
1977 November,,43
1975 June,,50
1972 December,,51